symbol,date,abertura,alta,baixa,fechamento,volume,adjclose,dividendo
BPAC11,"('BPAC11.SA', datetime.date(2023, 10, 24))",30.469999313354492,31.239999771118164,30.40999984741211,30.860000610351562,8887100,30.53192710876465,0.0
BPAC11,"('BPAC11.SA', datetime.date(2023, 10, 25))",30.860000610351562,31.149999618530273,30.350000381469727,30.850000381469727,10728500,30.522031784057617,0.0
BPAC11,"('BPAC11.SA', datetime.date(2023, 10, 26))",31.110000610351562,31.360000610351562,30.3799991607666,31.1200008392334,8153500,30.789161682128906,0.0
BPAC11,"('BPAC11.SA', datetime.date(2023, 10, 27))",31.139999389648438,31.56999969482422,30.059999465942383,30.239999771118164,8219800,29.918516159057617,0.0
BPAC11,"('BPAC11.SA', datetime.date(2023, 10, 30))",30.600000381469727,30.6200008392334,29.329999923706055,29.559999465942383,8838000,29.245744705200195,0.0
BPAC11,"('BPAC11.SA', datetime.date(2023, 10, 31))",29.579999923706055,29.81999969482422,29.1200008392334,29.600000381469727,12005300,29.285320281982422,0.0
BPAC11,"('BPAC11.SA', datetime.date(2023, 11, 1))",29.84000015258789,30.0,29.450000762939453,29.540000915527344,10453900,29.22595977783203,0.0
BPAC11,"('BPAC11.SA', datetime.date(2023, 11, 3))",30.3799991607666,31.989999771118164,30.1299991607666,31.969999313354492,17882800,31.630125045776367,0.0
BPAC11,"('BPAC11.SA', datetime.date(2023, 11, 6))",32.029998779296875,32.43000030517578,31.5,32.209999084472656,5799000,31.867572784423828,0.0
BPAC11,"('BPAC11.SA', datetime.date(2023, 11, 7))",32.0,33.11000061035156,32.0,32.7599983215332,9338100,32.41172409057617,0.0
BPAC11,"('BPAC11.SA', datetime.date(2023, 11, 8))",33.060001373291016,33.810001373291016,32.630001068115234,33.59000015258789,13285300,33.23290252685547,0.0
BPAC11,"('BPAC11.SA', datetime.date(2023, 11, 9))",33.880001068115234,33.88999938964844,32.45000076293945,32.599998474121094,4110000,32.25342559814453,0.0
BPAC11,"('BPAC11.SA', datetime.date(2023, 11, 10))",32.70000076293945,34.040000915527344,32.65999984741211,34.0,8877100,33.63854217529297,0.0
BPAC11,"('BPAC11.SA', datetime.date(2023, 11, 13))",33.900001525878906,33.95000076293945,33.310001373291016,33.38999938964844,2646200,33.035030364990234,0.0
BPAC11,"('BPAC11.SA', datetime.date(2023, 11, 14))",33.79999923706055,34.709999084472656,33.439998626708984,34.119998931884766,7909100,33.757266998291016,0.0
BPAC11,"('BPAC11.SA', datetime.date(2023, 11, 16))",34.27000045776367,34.790000915527344,33.93000030517578,34.029998779296875,10477500,33.6682243347168,0.0
BPAC11,"('BPAC11.SA', datetime.date(2023, 11, 17))",34.130001068115234,34.2599983215332,33.279998779296875,33.36000061035156,5051100,33.005348205566406,0.0
BPAC11,"('BPAC11.SA', datetime.date(2023, 11, 20))",33.70000076293945,33.790000915527344,32.91999816894531,33.189998626708984,8669100,32.83715057373047,0.0
BPAC11,"('BPAC11.SA', datetime.date(2023, 11, 21))",32.810001373291016,32.9900016784668,32.34000015258789,32.650001525878906,7361900,32.30289840698242,0.0
BPAC11,"('BPAC11.SA', datetime.date(2023, 11, 22))",32.959999084472656,33.70000076293945,32.79999923706055,33.33000183105469,8059100,32.975669860839844,0.0
BPAC11,"('BPAC11.SA', datetime.date(2023, 11, 23))",33.54999923706055,34.029998779296875,33.040000915527344,33.70000076293945,6522000,33.341732025146484,0.0
BPAC11,"('BPAC11.SA', datetime.date(2023, 11, 24))",33.70000076293945,33.70000076293945,33.16999816894531,33.400001525878906,2675200,33.044921875,0.0
BPAC11,"('BPAC11.SA', datetime.date(2023, 11, 27))",33.70000076293945,34.0099983215332,33.09000015258789,33.849998474121094,6446000,33.490135192871094,0.0
BPAC11,"('BPAC11.SA', datetime.date(2023, 11, 28))",33.869998931884766,34.22999954223633,33.59000015258789,34.0,6410800,33.63854217529297,0.0
BPAC11,"('BPAC11.SA', datetime.date(2023, 11, 29))",34.099998474121094,34.70000076293945,33.93000030517578,34.70000076293945,9029400,34.33110046386719,0.0
BPAC11,"('BPAC11.SA', datetime.date(2023, 11, 30))",34.70000076293945,35.599998474121094,34.33000183105469,35.540000915527344,12374200,35.162174224853516,0.0
BPAC11,"('BPAC11.SA', datetime.date(2023, 12, 1))",35.439998626708984,35.52000045776367,34.59000015258789,35.220001220703125,12790100,34.84557342529297,0.0
BPAC11,"('BPAC11.SA', datetime.date(2023, 12, 4))",35.06999969482422,35.349998474121094,34.869998931884766,34.97999954223633,5576600,34.60812759399414,0.0
BPAC11,"('BPAC11.SA', datetime.date(2023, 12, 5))",34.91999816894531,35.08000183105469,34.529998779296875,34.79999923706055,4812000,34.6588134765625,0.230895
BPAC11,"('BPAC11.SA', datetime.date(2023, 12, 6))",34.9900016784668,35.06999969482422,34.040000915527344,34.27000045776367,5587000,34.13096618652344,0.0
BPAC11,"('BPAC11.SA', datetime.date(2023, 12, 7))",34.41999816894531,34.849998474121094,33.68000030517578,34.029998779296875,7984300,33.891937255859375,0.0
BPAC11,"('BPAC11.SA', datetime.date(2023, 12, 8))",34.20000076293945,34.619998931884766,33.90999984741211,34.369998931884766,5529600,34.23055648803711,0.0
BPAC11,"('BPAC11.SA', datetime.date(2023, 12, 11))",34.029998779296875,34.65999984741211,34.029998779296875,34.52000045776367,2798600,34.37995147705078,0.0
BPAC11,"('BPAC11.SA', datetime.date(2023, 12, 12))",34.68000030517578,34.72999954223633,34.099998474121094,34.36000061035156,3262800,34.22060012817383,0.0
BPAC11,"('BPAC11.SA', datetime.date(2023, 12, 13))",34.470001220703125,36.0,34.20000076293945,35.779998779296875,9669500,35.63483810424805,0.0
BPAC11,"('BPAC11.SA', datetime.date(2023, 12, 14))",36.0099983215332,37.119998931884766,35.84000015258789,36.84000015258789,11432800,36.6905403137207,0.0
BPAC11,"('BPAC11.SA', datetime.date(2023, 12, 15))",36.900001525878906,37.2400016784668,35.880001068115234,36.4900016784668,9322100,36.34196090698242,0.0
BPAC11,"('BPAC11.SA', datetime.date(2023, 12, 18))",36.849998474121094,37.16999816894531,36.45000076293945,37.0,6517200,36.84988784790039,0.0
BPAC11,"('BPAC11.SA', datetime.date(2023, 12, 19))",36.81999969482422,37.47999954223633,36.68000030517578,37.060001373291016,4546100,36.90964889526367,0.0
BPAC11,"('BPAC11.SA', datetime.date(2023, 12, 20))",36.900001525878906,37.029998779296875,36.2599983215332,36.630001068115234,5570600,36.48139190673828,0.0
BPAC11,"('BPAC11.SA', datetime.date(2023, 12, 21))",36.959999084472656,36.959999084472656,36.04999923706055,36.65999984741211,6340600,36.511268615722656,0.0
BPAC11,"('BPAC11.SA', datetime.date(2023, 12, 22))",36.880001068115234,36.880001068115234,36.18000030517578,36.79999923706055,4830100,36.650699615478516,0.0
BPAC11,"('BPAC11.SA', datetime.date(2023, 12, 26))",36.79999923706055,37.369998931884766,36.599998474121094,37.290000915527344,3360500,37.13871383666992,0.0
BPAC11,"('BPAC11.SA', datetime.date(2023, 12, 27))",37.099998474121094,37.88999938964844,37.029998779296875,37.560001373291016,5075700,37.40761947631836,0.0
BPAC11,"('BPAC11.SA', datetime.date(2023, 12, 28))",37.54999923706055,38.119998931884766,37.43000030517578,37.61000061035156,5348800,37.45741653442383,0.0
BPAC11,"('BPAC11.SA', datetime.date(2024, 1, 2))",37.61000061035156,37.81999969482422,36.849998474121094,37.22999954223633,5020500,37.078956604003906,0.0
BPAC11,"('BPAC11.SA', datetime.date(2024, 1, 3))",37.0099983215332,37.52000045776367,36.439998626708984,36.540000915527344,10161200,36.39175796508789,0.0
BPAC11,"('BPAC11.SA', datetime.date(2024, 1, 4))",36.41999816894531,36.4900016784668,35.470001220703125,35.959999084472656,7690100,35.959999084472656,0.148245
BPAC11,"('BPAC11.SA', datetime.date(2024, 1, 5))",35.88999938964844,37.09000015258789,35.70000076293945,36.72999954223633,8636100,36.72999954223633,0.0
BPAC11,"('BPAC11.SA', datetime.date(2024, 1, 8))",36.599998474121094,37.90999984741211,36.599998474121094,37.90999984741211,7777700,37.90999984741211,0.0
BPAC11,"('BPAC11.SA', datetime.date(2024, 1, 9))",37.619998931884766,38.150001525878906,37.58000183105469,37.779998779296875,7135300,37.779998779296875,0.0
BPAC11,"('BPAC11.SA', datetime.date(2024, 1, 10))",37.83000183105469,38.11000061035156,37.33000183105469,37.7599983215332,5303200,37.7599983215332,0.0
BPAC11,"('BPAC11.SA', datetime.date(2024, 1, 11))",37.66999816894531,37.869998931884766,37.15999984741211,37.4900016784668,6505300,37.4900016784668,0.0
BPAC11,"('BPAC11.SA', datetime.date(2024, 1, 12))",37.439998626708984,38.5,36.54999923706055,38.34000015258789,9232800,38.34000015258789,0.0
BPAC11,"('BPAC11.SA', datetime.date(2024, 1, 15))",38.34000015258789,38.630001068115234,38.0099983215332,38.470001220703125,2266100,38.470001220703125,0.0
BPAC11,"('BPAC11.SA', datetime.date(2024, 1, 16))",38.0,38.2599983215332,37.66999816894531,37.84000015258789,6385000,37.84000015258789,0.0
BPAC11,"('BPAC11.SA', datetime.date(2024, 1, 17))",37.79999923706055,38.029998779296875,36.58000183105469,36.959999084472656,15066500,36.959999084472656,0.0
BPAC11,"('BPAC11.SA', datetime.date(2024, 1, 18))",37.04999923706055,37.130001068115234,36.099998474121094,36.54999923706055,8906400,36.54999923706055,0.0
BPAC11,"('BPAC11.SA', datetime.date(2024, 1, 19))",36.83000183105469,37.060001373291016,36.2400016784668,36.81999969482422,9374700,36.81999969482422,0.0
BPAC11,"('BPAC11.SA', datetime.date(2024, 1, 22))",36.83000183105469,37.0,36.099998474121094,36.86000061035156,8042700,36.86000061035156,0.0
BPAC11,"('BPAC11.SA', datetime.date(2024, 1, 23))",37.0099983215332,37.34000015258789,36.72999954223633,37.25,9165300,37.25,0.0
BPAC11,"('BPAC11.SA', datetime.date(2024, 1, 24))",37.54999923706055,37.77000045776367,37.0,37.380001068115234,7835400,37.380001068115234,0.0
BPAC11,"('BPAC11.SA', datetime.date(2024, 1, 25))",37.33000183105469,37.61000061035156,36.77000045776367,37.0,8311200,37.0,0.0
BPAC11,"('BPAC11.SA', datetime.date(2024, 1, 26))",37.36000061035156,37.369998931884766,36.83000183105469,37.040000915527344,6624200,37.040000915527344,0.0
BPAC11,"('BPAC11.SA', datetime.date(2024, 1, 29))",37.04999923706055,37.04999923706055,36.5,36.65999984741211,3057400,36.65999984741211,0.0
BPAC11,"('BPAC11.SA', datetime.date(2024, 1, 30))",36.65999984741211,36.75,35.560001373291016,35.900001525878906,7944200,35.900001525878906,0.0
BPAC11,"('BPAC11.SA', datetime.date(2024, 1, 31))",36.0,36.470001220703125,35.65999984741211,36.02000045776367,11215300,36.02000045776367,0.0
